race,date,meanIncome,county,percentage
black,2012,15016,Onondaga,11.0
black,2012,15915,Ontario,2.4
black,2012,24628,Orange,9.8
black,2012,0,Oswego,0.7
black,2012,35204,Putnam,2.6
black,2012,24197,Queens,18.3
black,2012,18033,Rensselaer,5.3
black,2012,21716,Richmond,10.7
black,2012,24188,Rockland,12.2
black,2012,7904,St. Lawrence,2.7
black,2012,21520,Saratoga,1.4
black,2012,14631,Schenectady,9.2
black,2012,21218,Steuben,1.4
black,2012,24273,Suffolk,7.3
black,2012,13415,Sullivan,9.3
black,2012,9797,Tompkins,3.6
black,2012,23100,Ulster,5.7
black,2012,20600,Warren,1.1
black,2012,12785,Wayne,3.5
black,2012,25863,Westchester,14.3
native,2012,12810,Albany,0.2
native,2012,12693,Bronx,0.5
native,2012,31420,Broome,0.2
native,2012,19421,Cattaraugus,2.8
native,2012,15109,Cayuga,0.5
native,2012,8639,Chautauqua,0.5
native,2012,0,Chemung,0.1
native,2012,25223,Clinton,0.5
native,2012,22060,Dutchess,0.6
native,2012,16626,Erie,0.5
native,2012,0,Jefferson,0.2
native,2012,13305,Kings,0.3
native,2012,0,Livingston,0.1
native,2012,0,Madison,0.8
native,2012,10743,Monroe,0.3
native,2012,24211,Nassau,0.2
native,2012,12197,New York,0.3
native,2012,17918,Niagara,1.0
native,2012,17120,Oneida,0.3
native,2012,21687,Onondaga,0.7
native,2012,13685,Ontario,0.3
